geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,209.14,208.18,209.58,217.73,222.76,226.85,228.99,230.78,230.17,238.07,242.34,244.76,237.16,255.23,281.88,299.55,318.92,341.34,365.09,394.68,424.14,447.61,476.84,512,548.71,595.42,627.36,665.83,704.77,764.83,799.43,937.3,930.65,965.97
ago,Angola,502.1,516.43,532.36,561.51,593.3,597.21,557.52,564.08,648.77,706.18,735.67,786.27,836.12,882.13,944.08,1011.99,1152.38,1282.37,1420.25,1570.41,1716.26,1856.87,1996.04,2259.03,2588.97,2728.66,2681.75,2699.17,2856.55,3109.05,3311.27,3710.31,4467.59,5099.06
alb,Albania,213.47,216.9,221.6,228.82,239.14,255.29,272.82,283.2,308.08,325.3,350.61,368.47,396.33,430.91,452.95,468.98,486.15,478.15,500.51,511.95,517.43,515.28,524.83,541.82,564.27,586.29,602.85,624.71,625.74,644.15,650.74,682.21,699.79,617.5
and,Andorra,17.85,19.03,20.35,22.33,23.49,25.13,27.22,29.2,31.12,32.79,34.72,36.87,39.21,41.84,44.3,45.89,48.01,50.41,52.54,53.94,55.71,52.75,52.37,53.8,55.67,57.6,59.3,62.12,64.67,68.09,70.26,75.19,80.21,84
are,UAE,93.95,100.9,107.35,117.53,127.16,132.86,140.01,150.43,166.86,179.78,200.2,212.17,215.09,224.59,247.42,273.09,289.96,327.85,364.15,405.65,417.99,436.17,444.58,450.7,468.03,478.86,496.87,519.33,544.42,600.86,643.12,699.97,795.05,902.82
arg,Argentina,9542.67,9748.23,10082.07,10419.83,10590.92,11146.19,11597.84,12003.35,12471.6,12801.73,12808.83,13093.55,13293.4,13791.03,13832.6,14073.37,14116.49,14525.28,14238.71,14474.6,14948.92,15060.41,15328.62,15632.35,15539.29,15857.66,16418.43,16474.95,16337.29,16703.85,16307.08,17786.36,19963.89,18680.28
arm,Armenia,976.87,993.93,1027.35,1045.15,1054.58,1078.87,1136.64,1180.28,1248.88,1304.05,1323.96,1345.94,1397.02,1434.85,1427.13,1298.21,1281.68,1339.63,1363.06,1391.53,1397.75,1374.45,1356.99,1268.48,1236.76,1252.75,1220.59,1222.09,1211.86,1274.72,1248.47,1284.6,1218.94,1044.21
atg,Antigua and Barbuda,17.37,17.47,18,17.71,18.93,19.77,20.24,20.09,20.48,21.58,24.4,24.86,26.37,27.18,28.48,28.29,28.01,29.02,29.5,31.27,33.37,34.61,35.71,36.15,37.35,38.81,40.78,43.03,44.01,45.42,47.44,49.21,52.74,55.52
aus,Australia,7859.51,8184.63,8461.78,8968.4,9449.66,9836.16,10310.58,10568.4,10804.25,11012.19,11174.82,11625.46,12192.7,12627.02,12903.84,13219.55,13261.01,13697,14330.96,14397.49,14650.76,14965.58,14889.72,14999.51,15134.21,15542.42,15653.89,15481.91,15873.49,16395.86,15939.85,16303.8,16467.05,16493.67
aut,Austria,4763.04,4841.88,4921.6,5004.99,5151.9,5322.51,5347.84,5345.08,5346.91,5389.64,5557.38,5545.67,5644.87,5796.02,5830.18,5993.99,6169.1,6173.25,6199.59,6337.97,6278.81,6221.62,6343.52,6356.98,6346.27,6463.32,6356.73,6402.14,6478.84,6458.99,6477.25,6484.21,6731.83,6705.24
aze,Azerbaijan,998.22,1021.65,1057.63,1098.05,1118.76,1129.64,1137.63,1137.56,1131.87,1129.95,1116.58,1105.62,1123.16,1151.15,1171.49,1214.37,1285.4,1347.68,1416.73,1476.42,1526.89,1566.99,1597.08,1637.83,1690.04,1741.37,1818.27,1896.36,1994.09,2214,2410.41,2414.58,2092.27,2178.42
bdi,Burundi,321.94,316.61,313.15,314.84,303.62,298.28,303.31,299.85,291.16,287.04,284.6,278.15,272.31,267.16,272.16,282.23,294.05,312.96,338.16,359.25,386.78,424.12,462.5,494.53,537.15,589.04,642.1,704.05,763.96,845.01,901.53,1055.28,1166.27,1338.32
bel,Belgium,8026.08,8142.92,8123.28,8251.18,8475.81,8683.2,8707.21,8676.85,8895.53,8948.08,8779.11,8767.37,8914.81,8927.46,8920.41,8961.37,9046.85,9277.72,9450.42,9432.78,9464.1,9415.03,9432.24,9436.03,9263.5,9138.52,9119.79,9024.3,8910.59,8498.93,8486.17,8426.84,9047.3,8840.89
ben,Benin,207.84,221.73,231.06,244.09,253.95,261.13,271.58,279.76,292.42,301.02,314.83,315.86,322.09,327.42,330.89,343.13,363.82,383.89,451.58,530.89,568.41,608.36,646.15,695.53,734.52,775.61,828.02,885.88,943.52,1049.94,1122.64,1170.42,1262.16,1423.06
bfa,Burkina Faso,580.7,568.16,565.91,576.5,584.03,597.63,610.44,622.95,643.22,663.31,693.33,709.8,751.21,773.7,828.93,903.61,986.42,1037.04,1095.99,1162.82,1219.71,1291.54,1357.56,1401.68,1434.71,1527.85,1604.3,1676.69,1723.09,1786.51,1773.44,1849.11,2400.2,2748.09
bgd,Bangladesh,3883.22,4653.33,4549.66,4721.69,4860.29,4959.85,5270.48,5593.9,6050.67,6575.5,6823.31,7082.47,7288.24,7351.55,7232.73,7145.75,7130.39,7181.88,7171.15,7549.97,7970.16,8258.46,8799.08,9708.43,10683.9,12251.27,13462.82,14787.07,16142.92,17776.11,19324.27,23444.53,26027.75,29650.12
bgr,Bulgaria,2671.14,2745.39,2720.96,2736.2,2774.85,2906.57,2992.09,3008.73,2919.01,2976.58,3110.79,3122.53,3194.85,3282.6,3297.22,3460.45,3437.59,3465.24,3521.2,3424.22,3397.99,3641.78,3821.96,3828.45,3951.16,3991.35,3891.14,3855.21,3846.06,3960.25,4021.34,3975.96,3800.15,3572.46
bhr,Bahrain,46.99,48.97,52.18,54.89,57.37,61.31,64.92,68.78,72.25,74.88,80.27,84.77,91.96,103.12,114.38,126,137.19,149.6,163.77,179.4,198.79,212.43,225.36,232.75,234.54,243.33,256.34,264.37,266,272.2,263.66,285.35,293.29,333.03
bhs,Bahamas,67.16,72.51,73.68,76.87,79.66,81.01,86.82,88.24,93.83,100.86,109.59,119.36,129.93,132.71,143.25,144.01,150.39,156.55,160.73,171.96,187.28,193.78,197.62,201.79,202.11,212.83,223.23,231.53,239.69,263.19,264.05,347.36,286.4,282.68
bih,Bosnia and Herzegovina,747.56,727.12,702.4,692.94,686.46,687.53,719.89,768.72,841.28,929.82,1011.42,1091.31,1156.55,1229.51,1297.4,1354.93,1380.87,1398.74,1435.37,1471.59,1483.91,1489.77,1499,1496.9,1506.06,1526.96,1540.39,1569.24,1579.78,1616.12,1640.28,1635.14,1668.88,1628.97
blr,Belarus,2912.09,3054.4,3331.61,3488.94,3602.46,3663.59,3763.55,3915.95,4136.41,4386.39,4455.61,4326.1,3809.42,3931.21,4486.15,5285.14,4659.14,4190.26,3990.78,4039.14,4122.51,4079.65,4266.58,4400.95,4328.24,4346.71,4363.89,4474.35,4579.64,4701.94,4582.74,4720.6,5145.56,5332.35
blz,Belize,9.4,9.92,10.32,10.96,11.77,12.18,13.42,14.21,15.56,16.49,17.95,19.26,20.72,22.02,23.37,25,26.19,27.97,29.99,31.99,33.77,35.31,38.05,39.35,40.97,43.37,43.95,45.46,47.32,50.41,53.29,57.49,56.4,59.82
bol,Bolivia,311.17,328.72,347.1,369.47,398.05,434.1,475.62,514.6,564.13,614.66,668.03,722.93,773.31,837.08,911.87,983.59,1065.34,1132.92,1208.11,1284.3,1367.4,1461.14,1553.25,1646.46,1731.13,1844.54,1978.12,2110.5,2271.64,2433.19,2614.03,2658.93,2724.08,2832.28
bra,Brazil,16287.35,16867.58,18050.71,19215.25,20212.24,20909.27,21674.73,22646.46,23890.16,25004.85,25916.48,27000.69,28092.98,29066.72,30216.06,30745.21,31846.13,32946.36,34749.12,35885.2,37697.91,39407.88,40663.42,42192.88,43567.47,45934.82,48053.77,49699,51762.83,53902.15,54150.19,56422.24,59462.6,62305.18
brb,Barbados,101.8,105.15,107.84,112.39,112.7,116.53,117.86,121.49,127.64,132.58,137.74,146.16,147.16,147.43,148.98,150.59,151.35,157.81,161.61,172.13,180.35,192.27,198.58,195.7,201.67,208.59,216.65,224.01,231.38,241.71,256.86,278.56,286.3,294.54
brn,Brunei,20.14,21.13,22.45,23.97,25.56,27.27,29.09,31.84,33.94,36,38.41,41.08,43.69,46.12,49.04,52.78,56.27,59.28,62.4,66.03,69.93,73.82,77.63,82.17,84.54,87.68,92.47,95.11,97.76,103.99,110.06,117.67,124.32,130.28
btn,Bhutan,21.22,23.03,24.65,25.92,26.74,28.76,30.64,33.2,33.98,35.05,37.12,39.51,41.68,43.93,45.48,46.9,47.96,49.38,50.94,52.59,55.44,58.66,62.35,66.26,70.51,75.56,81.01,86.92,92.23,97.43,104.72,110.33,117.96,125.49
bwa,Botswana,60.96,57.93,55.04,52.96,54.29,58.01,65.31,78.05,98.25,125.35,157.65,186.81,192.34,166.38,136.54,127.39,151.87,133.32,139.35,149.12,153.5,156.83,162.75,169.28,179.77,195.97,215.18,234.38,257.46,280.82,305.35,370.29,378.62,405.72
caf,Central African Republic,183.64,188.07,189.88,199.14,208.61,214.3,232.01,237.71,254.46,268.22,269.63,274.09,280.7,279.8,281.16,281.34,283.42,283.77,283.09,296.42,324.34,346.18,354.66,369.84,380.66,398.96,423.2,456.09,475.98,510.61,531.67,556.7,671.53,727.88
can,Canada,18562.18,18879.49,19323.67,19771.14,20535.99,20979.34,21668,22041.37,21971.21,22077.4,22741.3,23345.76,23727.72,23904.14,23943.81,24017.04,23969.42,24455.51,24500.41,24167.46,24384.77,24340.68,24342.56,24189.17,24521.15,25050.33,25459.34,25614.34,25715.6,25785.08,26171.55,26656.27,27471.85,28109.41
che,Switzerland,4835.83,4921.7,5029.85,5244.82,5535.46,5833.92,5869.8,5901.21,5832.69,5726.04,5903.39,6063.72,6151.25,6298.79,6259.93,6206.13,6269.99,6290.86,6598.72,6748.07,6719.69,6581.3,6548.13,6492.57,6526.24,6625.04,6571.11,6550.03,6629.11,6636.13,6427.46,6361.13,6836.42,6334.29
chl,Chile,1830.23,1883.45,1921.37,1976.22,2056.81,2189.5,2259.43,2216.54,2384.18,2457.43,2524.98,2615.24,2692.86,2796.24,2937.49,3106.35,3155.7,3267.39,3398.59,3692.67,3859.8,3947.65,4033.34,4065.18,4174.28,4308.38,4420.88,4521.48,4617.62,4916.44,4865.59,4862.17,5253.34,5416.94
chn,China,119316.88,124967.11,130341.61,135245.8,140615.54,146496.61,153076.61,158898.89,164249.09,170083.03,175674.89,179962.71,181704.24,185198.21,189002.39,197125.94,206339.35,216151.52,221785.64,226960.77,234110.68,237389.95,238279.48,241405.45,250401.03,257427.49,267947.96,280964.8,284859.02,283624.3,285801.14,309523.33,340333.56,342724.53
civ,Cote d'Ivoire,901.33,902.26,931.73,987.03,1054.01,1128.31,1234.52,1339.94,1443.65,1525.96,1624.49,1615.5,1656.28,1630.11,1660.85,1712.62,1820.74,1882.72,1990.2,2032.93,2055.61,2181.86,2465.21,2845.58,3162.5,3647.1,4160.71,4674.83,5180.46,5474.6,5919.56,6240.5,7645.42,8623.56
cmr,Cameroon,987.94,995.68,989.52,981.78,966.85,956.67,964.48,971.09,1001.3,1035.92,1098.48,1111.8,1161.69,1189.87,1234.49,1297.54,1384.73,1442.02,1574.25,1713.88,1848.71,1976.47,2146.69,2294.26,2360.8,2560.65,2795.38,3130.82,3538.14,3889.09,4311.5,4723.05,5514.75,6299.13
cod,"Congo, Dem. Rep.",2645.37,2723.22,2739.43,2746.86,2703.74,2716.14,2715.8,2756.73,2846.1,3009.56,3121.24,3206.12,3374.42,3525.11,3717.14,3971.36,4280.08,4568.08,4869.6,5228.41,5645.03,6075.93,6599.06,7262.61,8075.67,8803.12,9648,10663.6,11964.07,13299.06,14651.98,16026.9,19787.56,21698.01
cog,"Congo, Rep.",238.59,236,246.01,246.01,276.02,277.77,281.4,308.35,290.11,307.02,313.58,301.8,308.25,324.48,330.66,355.26,377.74,401.91,442.9,484.02,502.54,532.85,560.15,574.67,598.61,641.05,701.19,747.5,801.46,889.79,958.05,1026.21,1292.74,1483.54
col,Colombia,2996.69,3052.69,3175.53,3414.93,3592.32,3753.24,3942.86,4066.72,4164.57,4537.77,4861.96,5113.45,5424.02,5754.84,5940.42,5943.61,6201.21,6600.61,6905.31,7348.28,7885.69,8257.44,8686.49,8966.75,9401.08,9890.38,10641.06,11285.59,11725.91,12197.29,12489.02,13109.3,13241.01,13730.94
com,Comoros,12.23,12.99,13.71,14.35,14.9,15.2,15.97,16.24,17.37,17.7,19.47,19.86,21.68,22.34,21.81,24.15,23.61,27.27,28.26,27.99,29.03,30.06,29.94,30.16,32.39,32.7,33.48,34.26,34.14,36.06,37.19,39.31,40.04,45.19
cpv,Cape Verde,24.22,24.5,24.09,23.49,23.73,27.56,21.97,21.61,21.6,21.91,22.51,23.43,24.43,25.46,26.49,28.59,31.56,34.21,36.16,37.84,39.51,42.85,46.33,50.96,56.28,60.78,65.64,67.39,71.07,73.36,71.27,74.12,95.14,104.86
cri,Costa Rica,394.18,390.83,438.49,484.13,517.2,541.8,564.72,567.77,595.47,635.51,662.45,694.22,739.27,768.2,789,805.32,866.47,936.76,985.12,1025.54,1063.7,1089.46,1173.01,1284.83,1321.19,1333.79,1354.87,1406.95,1428.29,1509.32,1549.67,1624.96,1812.2,1992.53
cub,Cuba,2523.27,2685.21,2805.69,2858.18,2983.66,3039.49,3226.95,3194.57,3151.37,3297.58,3389.9,3559.69,3705.56,3847.61,3989.01,4092.23,4260.14,4446.96,4581.24,4747.07,4829.51,4857.37,4990.42,4971.95,5105.1,5059.57,5041.75,5050.91,5244.39,5432.08,5789.24,6785.37,5572.18,5958.88
cyp,Cyprus,211.92,224.05,248.97,253.33,275.05,283.08,300.81,319.79,349.14,364.87,372.44,385.05,413.09,457.38,483.84,549.61,574.26,620.9,632.18,635.81,653.09,681.02,705.34,723.62,746.7,792.59,760.88,812.07,822.72,853.76,887.36,959.5,963.95,899.69
cze,Czech Republic,4389.88,4575.87,4714.62,4979.01,5247.43,5439.76,5468.6,5546.92,5725.9,5802.79,5802.47,5877.75,5989.56,6065.82,6237.9,6279.23,6251.25,6103.91,6068.93,6006.02,6036.77,5978.58,5871.63,5834.03,5658.63,5677.52,5721.09,5721.04,5761.07,5890.9,6075.94,6241.6,6168.87,5907.61
deu,Germany,52943.49,55045.53,56039.26,58471.58,60182.06,62724.16,65034.73,64590.63,64424.01,64697.96,64899.65,65040.13,65946.87,66739.81,67974.56,69924.14,70903,71799.24,74464.7,74999.8,75701.24,75503.11,75493.52,76160.06,74313.2,76192.66,76003.3,76317.77,77477.4,76907.84,78641.45,79800.8,82327.56,83201.22
dji,Djibouti,29.2,30.54,33.16,38.76,33.88,36.71,36.09,34.76,35.33,34.83,34.76,34.74,35.15,34.47,37.82,39.62,42.5,46.79,50.99,53.9,58.72,63.42,69.65,76.19,80.89,91.92,100.87,115.34,122.95,135.09,137.7,152,172.92,196.39
dma,Dominica,14.51,14.88,15.14,15.58,15.98,16.3,16.47,16.38,16.49,16.62,16.93,17.34,17.79,18.4,18.62,18.59,19.08,19.59,20.33,20.97,21.44,21.46,22,22.03,22.16,22.79,23.43,23.45,23.53,24.25,25.54,25.76,25.61,27.14
dnk,Denmark,4775.82,4851.07,4945.03,4806.36,4060.29,4124.48,4139.03,4123.58,4086.02,4064.92,4155.97,4226.63,4297.62,4205.5,4227.59,4285.02,4403.29,4575.2,4532.67,4624.22,4680.51,4602.13,4498.03,4402.38,4410.84,4342.71,4354.58,4335.93,4247.92,4340.94,4363.02,4607.12,4720.18,4601.32
dom,Dominican Republic,580.81,587.84,593.31,594.83,609.87,625.86,641.58,656.34,676.3,716.59,775.71,852.87,917,952.03,983.36,1014.61,1065.42,1141.21,1231.35,1313.53,1388.55,1462.39,1506.86,1521.04,1545.41,1633.49,1727.28,1809.55,1893.78,1997.4,2098.01,2279.25,2447.84,2627.1
dza,Algeria,1264,1329.78,1415.94,1512.54,1602.04,1710.42,1807.2,1913.34,2047.65,2167.81,2303.9,2450.47,2615.31,2839.48,3102.41,3377.99,3612.01,3834.07,4056.33,4274,4504.35,4780.1,5049.57,5325.49,5593.43,5949.29,6317.97,6864.2,7444.83,8063.76,8020.83,8279.71,8892.55,9409.91
ecu,Ecuador,603.09,648.42,669.21,722.51,808.61,924.09,1103.43,1166.46,1264.97,1371.65,1473.27,1560.82,1579.8,1714.36,1705.26,1783.58,1884.99,1861.9,1954.66,2040.42,2090.04,2103.65,2260.98,2356.52,2373.2,2391.35,2533.79,2657.39,2853.5,3233.96,3311.89,3549.39,3599.07,3864.84
egy,Egypt,2282.63,2391.33,2533.36,2717.97,2862.89,3012.94,3191.04,3408.44,3635.41,3803.22,4040.67,4475.53,5083.41,5869.01,6607.75,7226.27,7771.93,8200.2,8682.81,9138.61,9419.99,9842.73,10186.01,10172.45,10834.96,11654.54,12161.63,12656.77,13102.18,13351.81,13610.76,14887.24,19305.91,21276.31
eri,Eritrea,197.62,204.89,200.45,192.65,200.17,211.01,223.93,237.55,247.27,259.18,271.24,277.6,296.74,308.6,331.78,354.42,376.33,401.86,427.23,452.88,478.63,511.61,547.37,577.45,611.65,653.58,687.7,731,785.61,836.38,881.55,894.17,1075.57,1152.03
esp,Spain,17775.65,18244.81,18599.64,19408.53,19785.75,20315.35,20376.75,20437.37,20827.34,21095.13,21243.83,21838.19,22270.08,23009.4,23248.18,24034.97,24764.85,25845.5,26446.8,26605.92,26936.62,27276.58,27668.38,27563.6,26993.08,27314.82,27114.36,27338.99,27947.34,27699.61,28434.24,27585.13,29781.02,29427.44
est,Estonia,674.54,721.34,723.57,670.91,587.31,608.59,640.83,647.94,642.35,662.3,699.14,688.65,703.07,703.24,721.42,732.38,716.14,714.82,762.34,795.33,799.45,840.5,850.27,798.48,798.11,779.16,776.06,813.27,801.4,795.89,785.99,806.67,789.55,783.97
eth,Ethiopia,1827.57,1909.28,2004.09,2105.84,2184.88,2269.66,2376.27,2465.5,2544.92,2621.38,2713.87,2811.19,2880.64,2946.71,3069.73,3293.77,3617.09,4039,4505.73,4914.15,5405.34,5847.46,6226.62,6663.15,7142.48,7541.59,8115.87,8876,9833.24,10871.78,11427.64,12530.76,16148.5,18662.96
fin,Finland,2726.97,2740.06,2878.99,2973.49,3052.1,3228.63,3247.74,3328.49,3424.81,3561.95,3596.3,3678.33,3686.96,3746.17,3839.79,4017.5,4237.33,4268.33,4269.7,4286.29,4475.32,4419.27,4566.42,4516.33,4403.17,4421.1,4581.17,4632.46,4497.16,4512.95,4655.3,4709.04,4798.34,5061.72
fji,Fiji,100.72,106.2,111.88,116.08,120.51,125.52,130.79,137.32,147.56,153.69,158.15,166.1,169.21,177.22,183.52,186.65,188.98,193.6,197.76,205.6,212.03,218.67,222.43,225.18,228.96,234.87,239.47,243.47,252.43,258.22,265.47,269.56,293.34,309.11
fra,France,32939.78,33626.79,34826.84,36412.89,37215.74,38668.67,39891.46,40629.12,41827.46,43481.63,44345.24,45180.63,46894.54,48882.34,49010.54,51378.65,52960.63,53907.33,55813.11,56528.88,56768.1,55816.37,57247.1,58227.31,58992.68,61487.45,62669.74,64061.3,64763.63,64879.53,64786.12,62086.56,68885.46,70710.05
fsm,"Micronesia, Fed. Sts.",8.36,8.74,9.08,9.5,9.94,10.31,10.77,11.21,11.69,12.02,12.89,12.62,13,13.28,13.54,13.7,13.81,13.83,13.82,14.03,14.33,14.78,15.25,15.67,16.03,16.42,16.8,17.21,17.54,17.67,18.12,20.03,19.1,19.82
gab,Gabon,109.16,116.68,120.37,115.43,117.39,122.95,121.33,126.06,127.92,125.5,130.33,135.41,143.75,149.82,160.78,184.41,200.23,206.18,211.72,223.73,230.59,240.44,274.57,327.31,363.99,384.16,390.27,397.63,406.97,432.11,464.86,509.95,623.37,697.84
gbr,UK,43996.89,44659.91,44883.22,45988.83,45712.16,46228.8,45911.43,45682.92,46038.99,46466.69,46406.45,46960.83,47230.49,47564.52,47104.77,48038.39,48329.98,48832.67,49617.48,48844.92,49038.59,49304.8,50054.76,49741.43,48962.6,49822.89,49508.27,49435.51,50187.38,49906.41,50865.65,49428.01,50547.57,54820.7
geo,Georgia,2045.76,1997.92,1957.19,1818.48,1706.67,1657.59,1677.37,1719.62,1805.5,1901.74,1940.19,1992.96,2014.72,1955.31,1881.5,1797.69,1873.88,1846.46,1909.56,1973.63,2060.14,2129.57,2146.04,2085.5,2085.69,2237.96,2350.82,2313.76,2194.07,2066.06,2066.36,2008.38,1902.66,1859.22
gha,Ghana,1215.93,1257.66,1303.48,1358.21,1408.05,1413.66,1424.33,1433.13,1461.37,1464.75,1485.54,1502.95,1541.43,1547.19,1595.17,1674.69,1786.19,1871.35,1930.46,1999.5,2074.8,2243.32,2358.46,2428.12,2464.57,2561.67,2698.24,2825.66,3114.91,3442.18,3765.5,4245.3,5096.7,5634
gin,Guinea,309.49,323.48,339.6,355.15,368.52,383.64,393.31,399.54,405.26,407.48,411.3,411.06,411.18,412.94,414.9,427.95,454.04,468.73,488.07,517.33,547.13,574.48,610.41,646.74,678.51,705.65,739.06,776.11,834.68,933.26,971.15,1050.97,1324.69,1454.16
gmb,Gambia,36.04,38.35,41.84,42.19,41.52,48.12,45.22,45.41,50.2,56.17,53.32,52.02,53.98,57.39,66.43,72.9,74.28,77.7,77.1,84.06,88.85,87.48,95.35,100.61,113.53,113.02,129.3,155.33,162.12,184.51,184.21,201.33,241.6,263.48
gnb,Guinea-Bissau,52.56,53.68,54.48,55.2,56.81,55.66,62.85,61.77,56.72,56.83,57.02,59.2,61.64,64.6,68.13,76.16,76.84,81.48,91.04,96.14,103.42,112.47,125.3,135.87,142.28,153.97,169.9,185.64,204.22,228.98,224.18,224.46,286,319.44
gnq,Equatorial Guinea,32.66,34.62,36.31,37.86,37.79,39.96,41.64,46.48,49.71,54.13,58.45,61.92,63.8,65.45,68.84,75.73,81.53,89.36,99.78,108.06,105.71,108.11,127.64,152.18,179.27,176.43,184.03,219.95,245.11,261.15,281.51,343,439.42,517.97
grc,Greece,6261.53,6481.8,6701.55,6952.6,7149.08,7243.3,7380.15,7354.67,7405.58,7644.29,7989.49,8260.54,8454.29,8540.88,8815.18,8847.51,8893.82,8713.43,8766.54,8291.87,8234.42,7873.46,8105.04,8057.17,8269.7,8539.92,8633.27,8737.47,8619.21,8670.97,8709.3,8975.66,8793.28,8851.31
grd,Grenada,19.32,20.03,20.2,20.23,21.02,21.16,22.34,23.06,23.97,24.02,24.64,25.31,26.93,27.66,27.36,27.48,28.95,30.7,31.84,32.59,34.1,35.7,37.25,37.36,37.57,37.09,37.6,37.85,38.71,40.29,40.36,41.88,43.18,45.59
gtm,Guatemala,210.75,220.15,252.75,289.47,302.12,320.54,317.62,320.06,367.04,399.93,457.71,458.5,486.01,515.2,582.83,599.12,660.6,624.03,685.08,730.01,810.95,861.12,916.39,926.6,944.53,1035.33,1069.47,1174.5,1208.11,1194.98,1249.09,1371.77,1470.31,1533.11
guy,Guyana,73.29,70.2,70.89,72.65,71.38,71.77,81.1,83.81,81.49,92.48,109.87,102.97,107.58,102.56,105.04,110.19,109.7,118.83,121.48,122.99,125.43,131.47,139.15,140.6,144.71,140.54,136.02,133.98,142.5,146.44,171.32,195.6,202.85,229.2
hnd,Honduras,127.64,140.54,146.62,158.32,168.69,173.43,191.76,201.35,212.1,224.71,238.3,254.18,270.22,286.18,300.71,312.73,326.1,340.95,357.35,371.99,390.82,417.04,442.43,461,482.24,506.41,527.19,551.1,581.66,617.8,611.21,723.89,746.65,769.97
hrv,Croatia,1986.19,2048.75,2088.18,2110.92,2154.62,2255.11,2204.77,2287.61,2332.87,2379.37,2391.65,2431.11,2419.79,2482.94,2548.7,2609.38,2593.77,2592.83,2609.93,2675.44,2779.94,2747.63,2896.98,2932.54,2917.84,2838.55,2757.78,2589.43,2440.63,2391.06,2365.17,2381.46,2426.1,2297.91
hti,Haiti,506.4,495.4,514.9,521.86,515.71,533.92,544.87,577.59,564.37,596.32,615.22,644.45,665.52,693.7,727.09,747.95,785.84,840.88,882.62,921.47,934.32,976.43,1041.15,1120.95,1181.87,1243.66,1317.14,1415.47,1548.81,1678.76,1750.36,1995.76,2225.96,2421.87
